Songnum	Nation	Songtype	Language	Title	Singer		
#10077	#2	#8	#2	#45	#Shinedown	#N:\Custom HD787\45 - Shinedown.mp3	#N:\Custom HD787\45 - Shinedown.cdg
#10078	#2	#8	#2	#455 Rocket	#Mattea, Kathy	#N:\Custom HD787\455 Rocket - Mattea, Kathy.mp3	#N:\Custom HD787\455 Rocket - Mattea, Kathy.cdg
#10079	#2	#8	#2	#48 Crash	#Quatro, Suzi	#N:\Custom HD787\48 Crash - Quatro, Suzi.mp3	#N:\Custom HD787\48 Crash - Quatro, Suzi.cdg
#10080	#2	#8	#2	#4ever	#Veronicas, The	#N:\Custom HD787\4ever - Veronicas, The.mp3	#N:\Custom HD787\4ever - Veronicas, The.cdg
#10081	#2	#8	#2	#4evermore	#David, Anthony & Algebra & Phonte	#N:\Custom HD787\4evermore - David, Anthony & Algebra & Phonte.mp3	#N:\Custom HD787\4evermore - David, Anthony & Algebra & Phonte.cdg
#10082	#2	#8	#2	#4th Of July	#Jennings, Shooter	#N:\Custom HD787\4th Of July - Jennings, Shooter.mp3	#N:\Custom HD787\4th Of July - Jennings, Shooter.cdg
#10083	#2	#8	#2	#4th Of July	#McKnight, Brian	#N:\Custom HD787\4th Of July - McKnight, Brian.mp3	#N:\Custom HD787\4th Of July - McKnight, Brian.cdg
#10084	#2	#8	#2	#5 O'Clock In The Morning	#Nonchalant	#N:\Custom HD787\5 O'Clock In The Morning - Nonchalant.mp3	#N:\Custom HD787\5 O'Clock In The Morning - Nonchalant.cdg
#10085	#2	#8	#2	#50,000 Names	#Jones, George	#N:\Custom HD787\50,000 Names - Jones, George.mp3	#N:\Custom HD787\50,000 Names - Jones, George.cdg
#10086	#2	#8	#2	#515	#Who, The	#N:\Custom HD787\515 - Who, The.mp3	#N:\Custom HD787\515 - Who, The.cdg
#10087	#2	#8	#2	#5	#4-3-2-1 - Mann, Manfred	#N:\Custom HD787\5-4-3-2-1 - Mann, Manfred.mp3	#N:\Custom HD787\5-4-3-2-1 - Mann, Manfred.cdg
#10088	#2	#8	#2	#5	#4-3-2-Yo! Time Is Up - Jade	#N:\Custom HD787\5-4-3-2-Yo! Time Is Up - Jade.mp3	#N:\Custom HD787\5-4-3-2-Yo! Time Is Up - Jade.cdg
#10089	#2	#8	#2	#5	#6-7-8 - Steps	#N:\Custom HD787\5-6-7-8 - Steps.mp3	#N:\Custom HD787\5-6-7-8 - Steps.cdg
#10090	#2	#8	#2	#57 Chevrolet	#Spears, Billie Jo	#N:\Custom HD787\57 Chevrolet - Spears, Billie Jo.mp3	#N:\Custom HD787\57 Chevrolet - Spears, Billie Jo.cdg
#10091	#2	#8	#2	#6 AM	#Patterson, Rahsaan	#N:\Custom HD787\6 AM - Patterson, Rahsaan.mp3	#N:\Custom HD787\6 AM - Patterson, Rahsaan.cdg
#10092	#2	#8	#2	#6 Underground	#Sneaker Pimps	#N:\Custom HD787\6 Underground - Sneaker Pimps.mp3	#N:\Custom HD787\6 Underground - Sneaker Pimps.cdg
#10093	#2	#8	#2	#6 Words	#Wretch 32	#N:\Custom HD787\6 Words - Wretch 32.mp3	#N:\Custom HD787\6 Words - Wretch 32.cdg
#10094	#2	#8	#2	#6, 8, 12	#McKnight, Brian	#N:\Custom HD787\6, 8, 12 - McKnight, Brian.mp3	#N:\Custom HD787\6, 8, 12 - McKnight, Brian.cdg
#10095	#2	#8	#2	#7 Days	#David, Craig	#N:\Custom HD787\7 Days - David, Craig.mp3	#N:\Custom HD787\7 Days - David, Craig.cdg
#10096	#2	#8	#2	#7 Things	#Cyrus, Miley	#N:\Custom HD787\7 Things - Cyrus, Miley.mp3	#N:\Custom HD787\7 Things - Cyrus, Miley.cdg
#10097	#2	#8	#2	#7 Years	#Graham, Lukas	#N:\Custom HD787\7 Years - Graham, Lukas.mp3	#N:\Custom HD787\7 Years - Graham, Lukas.cdg
#10098	#2	#8	#2	#711	#Beyonce	#N:\Custom HD787\711 - Beyonce.mp3	#N:\Custom HD787\711 - Beyonce.cdg
#10099	#2	#8	#2	#74	#75 - Connells, The	#N:\Custom HD787\74-75 - Connells, The.mp3	#N:\Custom HD787\74-75 - Connells, The.cdg
#10100	#2	#8	#2	#800 Pound Jesus	#Sawyer Brown	#N:\Custom HD787\800 Pound Jesus - Sawyer Brown.mp3	#N:\Custom HD787\800 Pound Jesus - Sawyer Brown.cdg
#10101	#2	#8	#2	#80's Ladies	#Oslin, K. T.	#N:\Custom HD787\80's Ladies - Oslin, K. T..mp3	#N:\Custom HD787\80's Ladies - Oslin, K. T..cdg
#10102	#2	#8	#2	#80's Mercedes	#Maren Morris	#N:\Custom HD787\80's Mercedes - Maren Morris.mp3	#N:\Custom HD787\80's Mercedes - Maren Morris.cdg
#10103	#2	#8	#2	#88 Lines About 44 Women	#Nails, The	#N:\Custom HD787\88 Lines About 44 Women - Nails, The.mp3	#N:\Custom HD787\88 Lines About 44 Women - Nails, The.cdg
#10104	#2	#8	#2	#8th World Wonder	#Locke, Kimberley	#N:\Custom HD787\8th World Wonder - Locke, Kimberley.mp3	#N:\Custom HD787\8th World Wonder - Locke, Kimberley.cdg
#10105	#2	#8	#2	#9 To 5	#Parton, Dolly	#N:\Custom HD787\9 To 5 - Parton, Dolly.mp3	#N:\Custom HD787\9 To 5 - Parton, Dolly.cdg
#10106	#2	#8	#2	#96 Tears	#Question Mark & The Mysterians	#N:\Custom HD787\96 Tears - Question Mark & The Mysterians.mp3	#N:\Custom HD787\96 Tears - Question Mark & The Mysterians.cdg
#10107	#2	#8	#2	#99 Problems	#Jay-Z	#N:\Custom HD787\99 Problems - Jay-Z.mp3	#N:\Custom HD787\99 Problems - Jay-Z.cdg
#10108	#2	#8	#2	#99 Red Balloons	#Nena	#N:\Custom HD787\99 Red Balloons - Nena.mp3	#N:\Custom HD787\99 Red Balloons - Nena.cdg
#10109	#2	#8	#2	#99 Shades Of Crazy	#Grey, JJ & Mofro	#N:\Custom HD787\99 Shades Of Crazy - Grey, JJ & Mofro.mp3	#N:\Custom HD787\99 Shades Of Crazy - Grey, JJ & Mofro.cdg
#10110	#2	#8	#2	#99 Times	#Voegele, Kate	#N:\Custom HD787\99 Times - Voegele, Kate.mp3	#N:\Custom HD787\99 Times - Voegele, Kate.cdg
#10111	#2	#8	#2	#99.9% Sure	#McComas, Brian	#N:\Custom HD787\99.9% Sure - McComas, Brian.mp3	#N:\Custom HD787\99.9% Sure - McComas, Brian.cdg
#10112	#2	#8	#2	#A Lifetime	#Better Than Ezra	#N:\Custom HD787\A Lifetime - Better Than Ezra.mp3	#N:\Custom HD787\A Lifetime - Better Than Ezra.cdg
#10113	#2	#8	#2	#A Little Work	#Fergie	#N:\Custom HD787\A Little Work - Fergie.mp3	#N:\Custom HD787\A Little Work - Fergie.cdg
#10114	#2	#8	#2	#A Lot That You Can Do	#Crawford, Randy	#N:\Custom HD787\A Lot That You Can Do - Crawford, Randy.mp3	#N:\Custom HD787\A Lot That You Can Do - Crawford, Randy.cdg
#10115	#2	#8	#2	#A Pile Of Crowns	#(Spiritual) Greater Vision	#N:\Custom HD787\A Pile Of Crowns - (Spiritual) Greater Vision.mp3	#N:\Custom HD787\A Pile Of Crowns - (Spiritual) Greater Vision.cdg
#10116	#2	#8	#2	#A Veces Tu A Veces Yo	#Iglesias, Julio	#N:\Custom HD787\A Veces Tu A Veces Yo - Iglesias, Julio.mp3	#N:\Custom HD787\A Veces Tu A Veces Yo - Iglesias, Julio.cdg
#10117	#2	#8	#2	#A.D.I.D.A.S.	#Killer Mike & Big Boi	#N:\Custom HD787\A.D.I.D.A.S. - Killer Mike & Big Boi.mp3	#N:\Custom HD787\A.D.I.D.A.S. - Killer Mike & Big Boi.cdg
#10118	#2	#8	#2	#Aaron's Party (Come Get It)	#Carter, Aaron	#N:\Custom HD787\Aaron's Party (Come Get It) - Carter, Aaron.mp3	#N:\Custom HD787\Aaron's Party (Come Get It) - Carter, Aaron.cdg
#10119	#2	#8	#2	#Abba (Instrumental)	#(Spiritual) Bethel Music	#N:\Custom HD787\Abba (Instrumental) - (Spiritual) Bethel Music.mp3	#N:\Custom HD787\Abba (Instrumental) - (Spiritual) Bethel Music.cdg
#10120	#2	#8	#2	#ABC 123	#Levert, Gerald	#N:\Custom HD787\ABC 123 - Levert, Gerald.mp3	#N:\Custom HD787\ABC 123 - Levert, Gerald.cdg
#10121	#2	#8	#2	#Abide	#Lexi	#N:\Custom HD787\Abide - Lexi.mp3	#N:\Custom HD787\Abide - Lexi.cdg
#10122	#2	#8	#2	#Abilene	#Hamilton, George IV	#N:\Custom HD787\Abilene - Hamilton, George IV.mp3	#N:\Custom HD787\Abilene - Hamilton, George IV.cdg
#10123	#2	#8	#2	#About Us	#Hogan, Brooke & Paul Wall	#N:\Custom HD787\About Us - Hogan, Brooke & Paul Wall.mp3	#N:\Custom HD787\About Us - Hogan, Brooke & Paul Wall.cdg
#10124	#2	#8	#2	#About You Now	#Cosgrove, Miranda	#N:\Custom HD787\About You Now - Cosgrove, Miranda.mp3	#N:\Custom HD787\About You Now - Cosgrove, Miranda.cdg
#10125	#2	#8	#2	#Above All	#(Spiritual) Sapp, Marvin	#N:\Custom HD787\Above All - (Spiritual) Sapp, Marvin.mp3	#N:\Custom HD787\Above All - (Spiritual) Sapp, Marvin.cdg
#10126	#2	#8	#2	#Above All	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Above All - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Above All - (Spiritual) Smith, Michael W..cdg
#10127	#2	#8	#2	#Above All	#(Spiritual)	#N:\Custom HD787\Above All - (Spiritual).mp3	#N:\Custom HD787\Above All - (Spiritual).cdg
#10128	#2	#8	#2	#Above All	#Smith, Michael W.	#N:\Custom HD787\Above All - Smith, Michael W..mp3	#N:\Custom HD787\Above All - Smith, Michael W..cdg
#10129	#2	#8	#2	#Above The Clouds	#Amber	#N:\Custom HD787\Above The Clouds - Amber.mp3	#N:\Custom HD787\Above The Clouds - Amber.cdg
#10130	#2	#8	#2	#Abracadabra	#Miller, Steve, Band	#N:\Custom HD787\Abracadabra - Miller, Steve, Band.mp3	#N:\Custom HD787\Abracadabra - Miller, Steve, Band.cdg
#10131	#2	#8	#2	#Abrazame	#Iglesias, Julio	#N:\Custom HD787\Abrazame - Iglesias, Julio.mp3	#N:\Custom HD787\Abrazame - Iglesias, Julio.cdg
#10132	#2	#8	#2	#Absence Of The Heart	#Carter, Deana	#N:\Custom HD787\Absence Of The Heart - Carter, Deana.mp3	#N:\Custom HD787\Absence Of The Heart - Carter, Deana.cdg
#10133	#2	#8	#2	#Absolutely (Story Of A Girl)	#Nine Days	#N:\Custom HD787\Absolutely (Story Of A Girl) - Nine Days.mp3	#N:\Custom HD787\Absolutely (Story Of A Girl) - Nine Days.cdg
#10134	#2	#8	#2	#Absolutely Not	#Cox, Deborah	#N:\Custom HD787\Absolutely Not - Cox, Deborah.mp3	#N:\Custom HD787\Absolutely Not - Cox, Deborah.cdg
#10135	#2	#8	#2	#Ac	#Cent-T Chu-Ate The Positive - Mercer, Johnny	#N:\Custom HD787\Ac-Cent-T Chu-Ate The Positive - Mercer, Johnny.mp3	#N:\Custom HD787\Ac-Cent-T Chu-Ate The Positive - Mercer, Johnny.cdg
#10136	#2	#8	#2	#Accidentally In Love	#Counting Crows	#N:\Custom HD787\Accidentally In Love - Counting Crows.mp3	#N:\Custom HD787\Accidentally In Love - Counting Crows.cdg
#10137	#2	#8	#2	#According To You	#Orianthi	#N:\Custom HD787\According To You - Orianthi.mp3	#N:\Custom HD787\According To You - Orianthi.cdg
#10138	#2	#8	#2	#Ace In The Hole	#Strait, George	#N:\Custom HD787\Ace In The Hole - Strait, George.mp3	#N:\Custom HD787\Ace In The Hole - Strait, George.cdg
#10139	#2	#8	#2	#Aces	#Bogguss, Suzy	#N:\Custom HD787\Aces - Bogguss, Suzy.mp3	#N:\Custom HD787\Aces - Bogguss, Suzy.cdg
#10140	#2	#8	#2	#Achilles Heel	#Toploader	#N:\Custom HD787\Achilles Heel - Toploader.mp3	#N:\Custom HD787\Achilles Heel - Toploader.cdg
#10141	#2	#8	#2	#Achy Breaky Heart	#Cyrus, Billy Ray	#N:\Custom HD787\Achy Breaky Heart - Cyrus, Billy Ray.mp3	#N:\Custom HD787\Achy Breaky Heart - Cyrus, Billy Ray.cdg
#10142	#2	#8	#2	#Achy Breaky Song	#Yankovic, Weird Al	#N:\Custom HD787\Achy Breaky Song - Yankovic, Weird Al.mp3	#N:\Custom HD787\Achy Breaky Song - Yankovic, Weird Al.cdg
#10143	#2	#8	#2	#Acquiesce	#Oasis	#N:\Custom HD787\Acquiesce - Oasis.mp3	#N:\Custom HD787\Acquiesce - Oasis.cdg
#10144	#2	#8	#2	#Across The Universe	#Apple, Fiona	#N:\Custom HD787\Across The Universe - Apple, Fiona.mp3	#N:\Custom HD787\Across The Universe - Apple, Fiona.cdg
